chr,chr_num,start,end,strand,gene_name,order,gene_symbol,gene_class
chr1,1,1851210,1851637,+,CATG00000067532,1_FANTOM,CATG00000067532.1,noncoding_lncRNA_divergent
chr1,1,1851349,1935276,-,ENSG00000142609,1_FANTOM,C1orf222,protein_coding
chr1,1,1874595,1893071,+,CATG00000071025,1_FANTOM,CATG00000071025.1,protein_coding
chr1,1,1910260,1911130,+,CATG00000072713,1_FANTOM,CATG00000072713.1,noncoding_lncRNA_noncoding_antisense
chr1,1,1943260,1950625,-,ENSG00000233542,1_FANTOM,RP11-547D24.1,noncoding_lncRNA_divergent
chr1,1,1950799,1962208,+,ENSG00000187730,1_FANTOM,GABRD,protein_coding
chr1,1,1964941,1978818,-,CATG00000043697,1_FANTOM,CATG00000043697.1,protein_coding
chr1,1,1979994,2126755,+,ENSG00000067606,1_FANTOM,PRKCZ,protein_coding
chr1,1,1980512,1981608,-,ENSG00000226969,1_FANTOM,RP11-547D24.3,noncoding_lncRNA_divergent
chr1,1,2050219,2051723,+,CATG00000077872,1_FANTOM,CATG00000077872.1,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,2077927,2080223,-,ENSG00000271806,1_FANTOM,RP5-892K4.1,noncoding_lncRNA_noncoding_antisense
chr1,1,2106680,2144175,-,ENSG00000162585,1_FANTOM,C1orf86,protein_coding
chr1,1,2113233,2115828,-,ENSG00000182873,2_ensembl,RP11-181G12.2,noncoding_antisense
chr1,1,2121237,2123179,+,ENSG00000269554,1_FANTOM,AL590822.2,protein_coding
chr1,1,2130962,2151932,+,ENSG00000234396,1_FANTOM,RP11-181G12.4,noncoding_lncRNA_divergent
chr1,1,2142027,2145641,-,ENSG00000203301,1_FANTOM,AL590822.1,protein_coding
chr1,1,2143610,2144012,-,ENSG00000243558,1_FANTOM,RP11-181G12.5,noncoding_sense_overlap_RNA
chr1,1,2154635,2159078,-,CATG00000043759,1_FANTOM,CATG00000043759.1,noncoding_lncRNA_divergent
chr1,1,2159472,2260023,+,ENSG00000157933,1_FANTOM,SKI,protein_coding
chr1,1,2217332,2218779,+,CATG00000081398,1_FANTOM,CATG00000081398.1,protein_coding
chr1,1,2240550,2241072,-,CATG00000043767,1_FANTOM,CATG00000043767.1,noncoding_lncRNA_divergent
chr1,1,2243058,2246363,-,CATG00000043785,1_FANTOM,CATG00000043785.1,protein_coding
chr1,1,2250302,2327277,-,ENSG00000116151,1_FANTOM,MORN1,protein_coding
chr1,1,2257640,2258132,-,ENSG00000272161,2_ensembl,RP4-713A8.1,noncoding_sense_intronic
chr1,1,2258581,2259042,+,ENSG00000269753,2_ensembl,AL589739.1,protein_coding
chr1,1,2283083,2283296,-,ENSG00000238240,2_ensembl,RP4-740C4.5,noncoding_pseudogene
chr1,1,2294500,2295067,-,ENSG00000272420,2_ensembl,RP4-740C4.7,noncoding_sense_intronic
chr1,1,2306292,2306792,-,ENSG00000271921,2_ensembl,RP4-740C4.9,noncoding_sense_intronic
chr1,1,2309056,2309799,-,ENSG00000271847,2_ensembl,RP4-740C4.8,noncoding_sense_intronic
chr1,1,2316843,2319946,+,ENSG00000178642,1_FANTOM,AL513477.1,noncoding_pseudogene
chr1,1,2322587,2337673,+,ENSG00000157916,1_FANTOM,RER1,protein_coding
chr1,1,2331930,2332337,-,CATG00000043824,1_FANTOM,CATG00000043824.1,noncoding_lncRNA_divergent
chr1,1,2332812,2345266,-,ENSG00000157911,1_FANTOM,PEX10,protein_coding
chr1,1,2344109,2440026,+,ENSG00000149527,1_FANTOM,PLCH2,protein_coding
chr1,1,2383392,2383573,+,CATG00000088265,1_FANTOM,CATG00000088265.1,noncoding_short_ncRNA
chr1,1,2423739,2424697,-,ENSG00000224387,2_ensembl,RP3-395M20.2,noncoding_antisense
chr1,1,2424876,2425918,-,ENSG00000229393,2_ensembl,RP3-395M20.3,noncoding_antisense
chr1,1,2439972,2458035,-,ENSG00000157881,1_FANTOM,PANK4,protein_coding
chr1,1,2460184,2461702,-,ENSG00000197921,1_FANTOM,HES5,protein_coding
chr1,1,2460345,2484215,+,ENSG00000272449,1_FANTOM,RP3-395M20.12,noncoding_lncRNA_intergenic
chr1,1,2472390,2488459,-,ENSG00000238164,1_FANTOM,RP3-395M20.8,noncoding_lncRNA_divergent
chr1,1,2485714,2498299,+,ENSG00000157873,1_FANTOM,TNFRSF14,protein_coding
chr1,1,2497849,2501327,+,ENSG00000225931,2_ensembl,RP3-395M20.7,noncoding_antisense
chr1,1,2504539,2509805,-,CATG00000043927,1_FANTOM,CATG00000043927.1,noncoding_lncRNA_intergenic
chr1,1,2512754,2513253,-,CATG00000043937,1_FANTOM,CATG00000043937.1,noncoding_lncRNA_intergenic
chr1,1,2512999,2515972,+,ENSG00000228037,2_ensembl,RP3-395M20.9,noncoding_antisense
chr1,1,2513310,2515627,-,CATG00000043952,1_FANTOM,CATG00000043952.1,protein_coding
chr1,1,2514897,2517820,-,CATG00000043953,1_FANTOM,CATG00000043953.1,noncoding_lncRNA_divergent
chr1,1,2517924,2523125,+,ENSG00000157870,1_FANTOM,FAM213B,protein_coding
chr1,1,2519994,2564498,-,ENSG00000142606,1_FANTOM,MMEL1,protein_coding
chr1,1,2560258,2572482,+,CATG00000096867,1_FANTOM,CATG00000096867.1,protein_coding
chr1,1,2564007,2568059,+,ENSG00000237058,2_ensembl,RP13-436F16.1,noncoding_antisense
chr1,1,2566734,2718258,-,ENSG00000215912,1_FANTOM,TTC34,protein_coding
chr1,1,2728415,2729257,-,ENSG00000233234,2_ensembl,RP11-740P5.2,noncoding_lncRNA_lincRNA
chr1,1,2730997,2731563,-,ENSG00000231630,2_ensembl,RP11-740P5.3,noncoding_lncRNA_lincRNA
chr1,1,2904630,2918261,+,CATG00000103624,1_FANTOM,CATG00000103624.1,protein_coding
chr1,1,2938068,2939465,+,ENSG00000169717,1_FANTOM,ACTRT2,protein_coding
chr1,1,2972003,2988154,-,ENSG00000177133,1_FANTOM,LINC00982,noncoding_lncRNA_divergent
chr1,1,2978523,2978959,-,ENSG00000256761,2_ensembl,AL008733.1,noncoding_pseudogene
chr1,1,2985744,3355185,+,ENSG00000142611,1_FANTOM,PRDM16,protein_coding
chr1,1,3049491,3050273,-,ENSG00000226286,2_ensembl,RP1-163G9.2,noncoding_antisense
chr1,1,3077796,3083691,-,CATG00000044060,1_FANTOM,CATG00000044060.1,protein_coding
chr1,1,3114226,3128709,-,CATG00000044079,1_FANTOM,CATG00000044079.1,protein_coding
chr1,1,3212906,3240061,-,CATG00000044101,1_FANTOM,CATG00000044101.1,protein_coding
chr1,1,3223200,3226660,-,ENSG00000272235,2_ensembl,RP11-22L13.1,noncoding_lncRNA_lincRNA
chr1,1,3283335,3289817,-,CATG00000044118,1_FANTOM,CATG00000044118.1,noncoding_lncRNA_noncoding_antisense
chr1,1,3361941,3373422,-,CATG00000044142,1_FANTOM,CATG00000044142.1,noncoding_lncRNA_intergenic
chr1,1,3370006,3370929,-,CATG00000044143,1_FANTOM,CATG00000044143.1,noncoding_lncRNA_divergent
chr1,1,3370996,3406555,+,ENSG00000130762,1_FANTOM,ARHGEF16,protein_coding
chr1,1,3385656,3388063,-,CATG00000044153,1_FANTOM,CATG00000044153.1,protein_coding
chr1,1,3397605,3528060,-,ENSG00000162591,1_FANTOM,MEGF6,protein_coding
chr1,1,3403810,3404191,+,ENSG00000272088,2_ensembl,RP11-168F9.2,noncoding_lncRNA_lincRNA
chr1,1,3462519,3467221,+,CATG00000112458,1_FANTOM,CATG00000112458.1,protein_coding
chr1,1,3477259,3477354,-,ENSG00000207776,2_ensembl,MIR551A,noncoding_miRNA
chr1,1,3536182,3546728,+,ENSG00000158109,1_FANTOM,TPRG1L,protein_coding
chr1,1,3538603,3541343,-,ENSG00000238260,1_FANTOM,RP11-46F15.2,noncoding_lncRNA_divergent
chr1,1,3544136,3569569,-,ENSG00000116213,1_FANTOM,WRAP73,protein_coding
chr1,1,3569080,3657341,+,ENSG00000078900,1_FANTOM,TP73,protein_coding
chr1,1,3569680,3585354,-,ENSG00000227589,1_FANTOM,RP5-1092A11.5,noncoding_lncRNA_noncoding_antisense
chr1,1,3624304,3630916,-,ENSG00000235131,1_FANTOM,RP5-1092A11.2,noncoding_lncRNA_noncoding_antisense
chr1,1,3650850,3663939,-,ENSG00000227372,1_FANTOM,TP73-AS1,noncoding_lncRNA_intergenic
chr1,1,3669014,3688209,+,ENSG00000162592,1_FANTOM,CCDC27,protein_coding
chr1,1,3680792,3689000,-,CATG00000044301,1_FANTOM,CATG00000044301.1,noncoding_lncRNA_divergent
chr1,1,3681032,3705449,+,ENSG00000235169,1_FANTOM,SMIM1,protein_coding
chr1,1,3691497,3713058,-,ENSG00000130764,1_FANTOM,LRRC47,protein_coding
chr1,1,3699379,3699673,+,ENSG00000266075,2_ensembl,RN7SL574P,noncoding_misc_RNA
chr1,1,3701572,3702102,+,ENSG00000272153,2_ensembl,RP1-286D6.5,noncoding_antisense
chr1,1,3713148,3714357,+,CATG00000116129,1_FANTOM,CATG00000116129.1,noncoding_lncRNA_divergent
chr1,1,3728603,3774264,-,ENSG00000116198,1_FANTOM,CEP104,protein_coding
chr1,1,3773850,3805557,+,ENSG00000169598,1_FANTOM,DFFB,protein_coding
chr1,1,3793913,3796193,+,CATG00000116252,1_FANTOM,CATG00000116252.1,noncoding_sense_overlap_RNA
chr1,1,3800628,3800697,+,ENSG00000264428,2_ensembl,AL691523.1,noncoding_miRNA
chr1,1,3805689,3816822,-,ENSG00000198912,1_FANTOM,C1orf174,protein_coding
chr1,1,3806343,3812010,+,CATG00000116382,1_FANTOM,CATG00000116382.1,noncoding_lncRNA_noncoding_antisense
chr1,1,3816913,3836605,+,ENSG00000236423,1_FANTOM,RP13-15E13.1,noncoding_lncRNA_divergent
chr1,1,3838236,3838794,-,CATG00000044391,1_FANTOM,CATG00000044391.1,noncoding_lncRNA_intergenic
chr1,1,4000699,4015322,+,ENSG00000233304,1_FANTOM,RP13-614K11.1,noncoding_lncRNA_intergenic
chr1,1,4007209,4009040,-,ENSG00000226374,2_ensembl,RP13-614K11.2,noncoding_lncRNA_lincRNA
chr1,1,4036199,4152987,+,CATG00000116875,1_FANTOM,CATG00000116875.1,noncoding_lncRNA_intergenic
chr1,1,4071915,4106986,-,CATG00000044427,1_FANTOM,CATG00000044427.1,noncoding_lncRNA_intergenic
chr1,1,4077807,4117488,+,CATG00000116876,1_FANTOM,CATG00000116876.1,protein_coding
chr1,1,4168516,4169024,-,CATG00000044462,1_FANTOM,CATG00000044462.1,noncoding_lncRNA_intergenic
chr1,1,4169569,4197176,+,CATG00000117061,1_FANTOM,CATG00000117061.1,noncoding_lncRNA_intergenic
chr1,1,4235588,4235959,-,ENSG00000229280,2_ensembl,RP11-374C13.1,noncoding_pseudogene
